"","mag_id","mag_name","assembly_id","assembly_batch","mag_domain","mag_phylum","mag_class","mag_order","mag_family","mag_genus","mag_species","mag_closest_ani","mag_closest_af","mag_taxonomy","mag_completeness","mag_contamination","mag_size","mag_gc","mag_n50","mag_contigs","host_species"
"1027","EHM013148","EHA00358_bin.24.fa","EHA00358","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",0,0,"Genus",86.53,1.56,4258978,"48.10%",71836,155,"Podarcis muralis"
"1028","EHM013149","EHA00358_bin.25.fa","EHA00358","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Coprobacillaceae","g__Thomasclavelia","s__",81.77,0.57,"Genus",100,0.94,4023769,"30.80%",53886,171,"Podarcis muralis"
"1029","EHM013150","EHA00358_bin.26.fa","EHA00358","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",0,0,"Genus",93.8,2.04,4815774,"47.90%",42159,460,"Podarcis muralis"
"1030","EHM013151","EHA00358_bin.27.fa","EHA00358","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",84.76,0.53,"Genus",51.72,6.9,3457378,"46.10%",10224,547,"Podarcis muralis"
"1031","EHM013152","EHA00358_bin.28.fa","EHA00358","ABB0113","d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Raoultibacter","s__",0,0,"Genus",51.22,2.28,1449662,"61.00%",2698,219,"Podarcis muralis"
"1032","EHM013153","EHA00358_bin.3.fa","EHA00358","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella_A","s__",78.13,0.21,"Genus",56.42,0.63,2693210,"49.30%",4013,756,"Podarcis muralis"
"1033","EHM013154","EHA00358_bin.4.fa","EHA00358","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Mycoplasmatales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__",0,0,"Genus",100,0.19,979356,"26.80%",544616,5,"Podarcis muralis"
"1034","EHM013155","EHA00358_bin.5.fa","EHA00358","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Clostridium_AQ","s__",0,0,"Genus",100,0.94,4461672,"39.60%",110810,77,"Podarcis muralis"
"1035","EHM013156","EHA00358_bin.6.fa","EHA00358","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__C-19","s__",0,0,"Genus",100,2.83,3859988,"36.20%",43174,145,"Podarcis muralis"
"1036","EHM013157","EHA00358_bin.7.fa","EHA00358","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Dielma","s__",0,0,"Genus",98.11,4.32,3290207,"36.20%",14433,358,"Podarcis muralis"
"1037","EHM013158","EHA00358_bin.8.fa","EHA00358","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__",0,0,"Genus",70.82,1.59,3513937,"45.10%",5098,806,"Podarcis muralis"
"1038","EHM013159","EHA00358_bin.9.fa","EHA00358","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__RUG11792","f__","g__","s__",0,0,"Order",78.29,0.13,966980,"37.40%",8003,169,"Podarcis muralis"
"1039","EHM013160","EHA00359_bin.1.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__",0,0,"Genus",93.71,0.64,3789733,"42.20%",114086,77,"Podarcis muralis"
"1040","EHM013161","EHA00359_bin.10.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__",0,0,"Genus",96.8,0.77,4482192,"47.40%",105038,676,"Podarcis muralis"
"1041","EHM013162","EHA00359_bin.11.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__",0,0,"Genus",57.06,0,3237482,"48.00%",5499,228,"Podarcis muralis"
"1042","EHM013163","EHA00359_bin.12.fa","EHA00359","ABB0113","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__",0,0,"Genus",91.95,0.68,2662726,"58.10%",19504,551,"Podarcis muralis"
"1043","EHM013164","EHA00359_bin.13.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__",0,0,"Genus",77.74,1.08,3023124,"45.00%",6542,39,"Podarcis muralis"
"1044","EHM013165","EHA00359_bin.14.fa","EHA00359","ABB0113","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter_J","s__",79.4,0.65,"Genus",99.58,0.35,1803274,"35.60%",143992,66,"Podarcis muralis"
"1045","EHM013166","EHA00359_bin.15.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__JAAYNV01","s__",0,0,"Genus",97.2,0.57,3659082,"46.30%",84628,459,"Podarcis muralis"
"1046","EHM013167","EHA00359_bin.16.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__",0,0,"Family",82.82,2.45,3666492,"37.00%",11402,247,"Podarcis muralis"
"1047","EHM013168","EHA00359_bin.17.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Clostridium_Q","s__",0,0,"Genus",98.73,1.38,4640213,"49.60%",31428,157,"Podarcis muralis"
"1048","EHM013169","EHA00359_bin.18.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",0,0,"Genus",56.89,1.72,3855696,"49.40%",45159,50,"Podarcis muralis"
"1049","EHM013170","EHA00359_bin.19.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Mycoplasmatales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__",0,0,"Genus",98.87,0.19,941399,"26.90%",25922,59,"Podarcis muralis"
"1050","EHM013171","EHA00359_bin.2.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Ventrimonas","s__",77.87,0.3,"Genus",99.32,1.62,4124949,"48.60%",44306,476,"Podarcis muralis"
"1051","EHM013172","EHA00359_bin.20.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Acutalibacteraceae","g__","s__",0,0,"Family",80.86,0.34,2163506,"50.90%",5448,294,"Podarcis muralis"
"1052","EHM013173","EHA00359_bin.21.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Coprobacillaceae","g__Thomasclavelia","s__",81.82,0.57,"Genus",97.16,1.55,3383417,"30.50%",17819,830,"Podarcis muralis"
"1053","EHM013174","EHA00359_bin.23.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__NSJ-61","s__",77.52,0.11,"Genus",52.23,2.63,2608023,"41.20%",3406,57,"Podarcis muralis"
"1054","EHM013175","EHA00359_bin.24.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__MGBC136627","s__",81.11,0.51,"Genus",98.41,1.26,4093026,"33.20%",116545,177,"Podarcis muralis"
"1055","EHM013176","EHA00359_bin.25.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",91.98,0.66,"Genus",63.62,6.9,4069726,"43.50%",40178,138,"Podarcis muralis"
"1056","EHM013177","EHA00359_bin.3.fa","EHA00359","ABB0113","d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium_A","s__Fusobacterium_A ulcerans_A",95.97,0.85,"Species",100,2.25,3359860,"29.80%",61191,102,"Podarcis muralis"
"1057","EHM013178","EHA00359_bin.4.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UMGS1251","s__",81.14,0.58,"Genus",86.54,4.01,3429411,"43.00%",7699,541,"Podarcis muralis"
"1058","EHM013179","EHA00359_bin.5.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",0,0,"Genus",74.48,1.72,3495158,"47.40%",21617,243,"Podarcis muralis"
"1059","EHM013180","EHA00359_bin.6.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__",80.34,0.56,"Genus",99.51,0.48,2505053,"54.00%",146006,71,"Podarcis muralis"
"1060","EHM013181","EHA00359_bin.7.fa","EHA00359","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__",0,0,"Genus",76.55,0,2705616,"45.50%",6358,539,"Podarcis muralis"
"1061","EHM013182","EHA00359_bin.8.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__CAG-95","s__",0,0,"Genus",97.12,0.57,4516118,"41.20%",69110,98,"Podarcis muralis"
"1062","EHM013183","EHA00359_bin.9.fa","EHA00359","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__JALFVM01","s__",78.58,0.2,"Genus",97.78,2.48,5061092,"42.70%",23969,319,"Podarcis muralis"
"1063","EHM013184","EHA00360_bin.1.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Pseudoflavonifractor","s__",79.08,0.41,"Genus",63.62,2.57,1739997,"58.90%",5207,565,"Podarcis muralis"
"1064","EHM013185","EHA00360_bin.10.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",0,0,"Genus",61.37,3.45,3606395,"48.90%",7939,199,"Podarcis muralis"
"1065","EHM013186","EHA00360_bin.11.fa","EHA00360","ABB0113","d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Bilophila","s__",0,0,"Genus",96.15,0.59,3427471,"51.10%",26791,64,"Podarcis muralis"
"1066","EHM013187","EHA00360_bin.12.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__",0,0,"Genus",98.24,4.78,4168648,"41.50%",103828,147,"Podarcis muralis"
"1067","EHM013188","EHA00360_bin.13.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__",81.53,0.54,"Genus",52.06,2.59,3229360,"43.30%",36757,182,"Podarcis muralis"
"1068","EHM013189","EHA00360_bin.14.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__",81.31,0.51,"Genus",53.21,2.59,2834437,"40.50%",33454,669,"Podarcis muralis"
"1069","EHM013190","EHA00360_bin.15.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Selenomonadales","f__","g__","s__",0,0,"Order",83.11,2.64,2615725,"51.30%",4536,195,"Podarcis muralis"
"1070","EHM013191","EHA00360_bin.16.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__",78.19,0.31,"Genus",94.13,5.38,4125063,"42.50%",32056,80,"Podarcis muralis"
"1071","EHM013192","EHA00360_bin.17.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__",78.89,0.49,"Genus",97.36,2.15,3419035,"41.40%",58961,144,"Podarcis muralis"
"1072","EHM013193","EHA00360_bin.18.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__",0,0,"Genus",87.22,2.01,3513339,"44.00%",35166,70,"Podarcis muralis"
"1073","EHM013194","EHA00360_bin.19.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",0,0,"Genus",88.46,2.54,4569147,"48.10%",107497,360,"Podarcis muralis"
"1074","EHM013195","EHA00360_bin.2.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__",80.07,0.37,"Genus",76.5,1.68,3210678,"58.40%",10487,70,"Podarcis muralis"
"1075","EHM013196","EHA00360_bin.20.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__",0,0,"Genus",97.3,1.5,4415653,"51.00%",106464,239,"Podarcis muralis"
"1076","EHM013197","EHA00360_bin.21.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",0,0,"Genus",53.31,7.56,3773205,"40.60%",45104,16,"Podarcis muralis"
"1077","EHM013198","EHA00360_bin.22.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Christensenellales","f__DTU072","g__","s__",0,0,"Family",93.52,0.81,2053447,"47.10%",539243,76,"Podarcis muralis"
"1078","EHM013199","EHA00360_bin.23.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__","s__",0,0,"Family",94.81,1.88,3191012,"40.60%",60074,25,"Podarcis muralis"
"1079","EHM013200","EHA00360_bin.24.fa","EHA00360","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__UBA3830","f__","g__","s__",0,0,"Order",94.4,0,1015065,"39.80%",84762,401,"Podarcis muralis"
"1080","EHM013201","EHA00360_bin.25.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__",0,0,"Genus",68.26,1.72,4234095,"47.10%",13752,18,"Podarcis muralis"
"1081","EHM013202","EHA00360_bin.26.fa","EHA00360","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__UBA3830","f__","g__","s__",0,0,"Order",93.4,0,939208,"33.60%",230014,29,"Podarcis muralis"
"1082","EHM013203","EHA00360_bin.27.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Christensenellales","f__UBA3700","g__","s__",0,0,"Family",95.16,0,1829150,"40.10%",174119,312,"Podarcis muralis"
"1083","EHM013204","EHA00360_bin.28.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",80.17,0.46,"Genus",80.06,1.55,3861942,"46.30%",16940,19,"Podarcis muralis"
"1084","EHM013205","EHA00360_bin.29.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__",0,0,"Genus",100,1.6,2231124,"56.30%",229954,428,"Podarcis muralis"
"1085","EHM013206","EHA00360_bin.3.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Mycoplasmatales","f__Mycoplasmoidaceae","g__Mycoplasmoides","s__",0,0,"Genus",97.74,1.19,966878,"26.90%",22086,32,"Podarcis muralis"
"1086","EHM013207","EHA00360_bin.30.fa","EHA00360","ABB0113","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter_J","s__",79.58,0.63,"Genus",99.58,0.35,1762773,"35.70%",116585,235,"Podarcis muralis"
"1087","EHM013208","EHA00360_bin.31.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella_A","s__",82.78,0.59,"Genus",97.66,0.02,4727355,"47.50%",32597,109,"Podarcis muralis"
"1088","EHM013209","EHA00360_bin.32.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__",0,0,"Family",97.98,1.57,4274889,"31.90%",80875,69,"Podarcis muralis"
"1089","EHM013210","EHA00360_bin.4.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__MGBC136627","s__",81.06,0.5,"Genus",98.69,1.26,4302729,"33.70%",55981,129,"Podarcis muralis"
"1090","EHM013211","EHA00360_bin.5.fa","EHA00360","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__",0,0,"Genus",97.58,1.01,2722181,"58.20%",50531,92,"Podarcis muralis"
"1091","EHM013212","EHA00360_bin.6.fa","EHA00360","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__","g__","s__",0,0,"Order",97.65,0,3184604,"29.00%",68501,78,"Podarcis muralis"
"1092","EHM013213","EHA00360_bin.7.fa","EHA00360","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rickettsiales","f__UBA1997","g__","s__",0,0,"Family",69.66,2.69,1729308,"39.30%",12728,179,"Podarcis muralis"
"1093","EHM013214","EHA00360_bin.8.fa","EHA00360","ABB0113","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__",0,0,"Genus",69.89,0,2278992,"58.20%",4662,547,"Podarcis muralis"
"1094","EHM013215","EHA00360_bin.9.fa","EHA00360","ABB0113","d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__","s__",0,0,"Family",87.86,0.69,3217757,"58.00%",14522,290,"Podarcis muralis"
"1095","EHM013216","EHA00363_bin.1.fa","EHA00363","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__",0,0,"Genus",88.22,1.02,3573351,"51.40%",9422,447,"Podarcis muralis"
"1096","EHM013217","EHA00363_bin.10.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__TANB77","f__CAG-508","g__UMGS1663","s__",0,0,"Genus",64.16,3.75,1505458,"28.60%",3829,516,"Podarcis muralis"
"1097","EHM013218","EHA00363_bin.11.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Selenomonadales","f__Massilibacillaceae","g__","s__",77.31,0.1,"Family",72.14,2.53,2324596,"44.40%",5231,118,"Podarcis muralis"
"1098","EHM013219","EHA00363_bin.12.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__CAG-95","s__",0,0,"Genus",94.25,0,4224958,"41.40%",62480,145,"Podarcis muralis"
"1099","EHM013220","EHA00363_bin.13.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__",0,0,"Family",97.65,3.58,4102607,"31.80%",42127,288,"Podarcis muralis"
"1100","EHM013221","EHA00363_bin.14.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Acutalibacteraceae","g__","s__",0,0,"Family",85.47,1.03,1908962,"47.00%",8255,32,"Podarcis muralis"
"1101","EHM013222","EHA00363_bin.15.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Kineothrix","s__",0,0,"Genus",98.85,0,3313885,"45.40%",191353,663,"Podarcis muralis"
"1102","EHM013223","EHA00363_bin.16.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__",0,0,"Genus",74.38,0.62,3111830,"39.70%",5869,664,"Podarcis muralis"
"1103","EHM013224","EHA00363_bin.17.fa","EHA00363","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__",0,0,"Genus",52.53,6.68,1755677,"59.50%",2737,199,"Podarcis muralis"
"1104","EHM013225","EHA00363_bin.18.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Anaerotignaceae","g__","s__",0,0,"Family",92.83,0.02,3038189,"31.00%",25719,287,"Podarcis muralis"
"1105","EHM013226","EHA00363_bin.19.fa","EHA00363","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__",81.34,0.47,"Genus",75.34,9.48,4807461,"41.50%",28270,517,"Podarcis muralis"
"1106","EHM013227","EHA00363_bin.2.fa","EHA00363","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__",80.13,0.48,"Genus",85.4,2.63,4743088,"45.00%",19035,414,"Podarcis muralis"
"1107","EHM013228","EHA00363_bin.20.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__",0,0,"Genus",90.18,2.18,2561667,"58.40%",8494,339,"Podarcis muralis"
"1108","EHM013229","EHA00363_bin.21.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Coprobacillaceae","g__Stoquefichus","s__",86.29,0.73,"Genus",74.31,1.18,2738489,"30.40%",10783,20,"Podarcis muralis"
"1109","EHM013230","EHA00363_bin.22.fa","EHA00363","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__UBA3830","f__","g__","s__",0,0,"Order",94.4,0,1004096,"39.80%",163433,349,"Podarcis muralis"
"1110","EHM013231","EHA00363_bin.23.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__",0,0,"Genus",88.79,0.64,3592563,"49.80%",15439,23,"Podarcis muralis"
"1111","EHM013232","EHA00363_bin.24.fa","EHA00363","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__",0,0,"Genus",100,1.76,2261494,"56.30%",208673,481,"Podarcis muralis"
"1112","EHM013233","EHA00363_bin.25.fa","EHA00363","ABB0113","d__Bacteria","p__Cyanobacteriota","c__Vampirovibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__CALURL01","s__",0,0,"Genus",61.27,1.28,1415816,"33.30%",3149,532,"Podarcis muralis"
"1113","EHM013234","EHA00363_bin.26.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Clostridium_Q","s__",0,0,"Genus",76.52,2.53,3596220,"50.00%",8117,393,"Podarcis muralis"
"1114","EHM013235","EHA00363_bin.27.fa","EHA00363","ABB0113","d__Bacteria","p__Cyanobacteriota","c__Vampirovibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__Limenecus","s__",80.15,0.63,"Genus",63.64,3.42,1472552,"37.30%",4142,111,"Podarcis muralis"
"1115","EHM013236","EHA00363_bin.28.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__","g__","s__",0,0,"Order",98.65,1.56,3606407,"28.80%",93145,60,"Podarcis muralis"
"1116","EHM013237","EHA00363_bin.29.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__",77.58,0.13,"Genus",96.34,1.21,3929518,"42.30%",146483,345,"Podarcis muralis"
"1117","EHM013238","EHA00363_bin.3.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__",0,0,"Genus",88.36,1.71,4071562,"42.60%",30786,42,"Podarcis muralis"
"1118","EHM013239","EHA00363_bin.30.fa","EHA00363","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__RUG11792","f__","g__","s__",0,0,"Order",90.32,0,1059979,"37.30%",86584,137,"Podarcis muralis"
"1119","EHM013240","EHA00363_bin.31.fa","EHA00363","ABB0113","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__",0,0,"Genus",97.27,0.72,3038754,"57.40%",37518,302,"Podarcis muralis"
"1120","EHM013241","EHA00363_bin.32.fa","EHA00363","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__RF32","f__CAG-239","g__MGBC133411","s__",0,0,"Genus",75.74,0,1435760,"42.60%",5974,2396,"Podarcis muralis"
"1121","EHM013242","EHA00363_bin.33.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Peptostreptococcales","f__Anaerovoracaceae","g__Anaerovorax","s__",75.52,0.05,"Genus",64.75,8.38,5950565,"38.80%",2466,20,"Podarcis muralis"
"1122","EHM013243","EHA00363_bin.34.fa","EHA00363","ABB0113","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Christensenellales","f__UBA3700","g__","s__",0,0,"Family",95.56,0,1904782,"36.40%",334569,316,"Podarcis muralis"
"1123","EHM013244","EHA00363_bin.35.fa","EHA00363","ABB0113","d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__","s__",0,0,"Family",89.28,2.66,3247727,"58.30%",16645,189,"Podarcis muralis"
"1124","EHM013245","EHA00363_bin.36.fa","EHA00363","ABB0113","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__",78.88,0.45,"Genus",90.59,0.54,3138852,"41.50%",24806,44,"Podarcis muralis"
"1125","EHM013246","EHA00363_bin.37.fa","EHA00363","ABB0113","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__RF32","f__CAG-239","g__CAZU01","s__",0,0,"Genus",97.84,1.08,1550302,"41.40%",77370,708,"Podarcis muralis"
