LI Code,LI Batch,Library barcode,Sample,EX Sample,Library replicate,Coordinates,Purpose,Input volume,Input DNA (ng),EX concentration (ng/ul),Adaptor nM,Required PCR cycles,Adaptor dimers,Notes,Indexed libraries,Number of indexed libraries,Sequencing datasets,Autonumber,Autonumber2,IN (Indexing),EX (Extraction),QPCR QC,Sampling date,Latitude reduced,Longitude reduced,Country,Biome,Environment,Type,Species,Taxid,Common name,Development,Length (mm),Weight (g),Sex,Specimen,Number of sequencing datasets,Total data (GB),Host data (GB),Metagenomic data (GB),number_bins,BioProject,SE Batch,Sample Batch,IN Code (from IN (Indexing)),ENA Sample accession,IN batch (from IN (Indexing)),collaborator,geographic location (region and locality),Sample Batch 2,QualityControlGroup,QC - Library qPCR based,Indexed,Sequenced,Order,PCR group
AAN04E1L1,LIB0017,LV1040377301,AAN04,AAN04E1,L1,P072_3C,metagenome,10.0,197.0,19.70,20,10,0,0,"AAN04E1L1I1, AAN04E1L1I2",2,EHI00335,499,00499,"AAN04E1L1I1,AAN04E1L1I2",,Risky,7/7/2021,41.250,-75.890,United States,1000221 - Temperate woodland,City Park,Anal/cloacal swab,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,56.00,617.00,Male,SD01586,1,6.18,5.975,0.00,0,PRJEB51867,SEB002,,"AAN04E1L1I1, AAN04E1L1I2",SAMEA111531750,"INB0017,INB0027","Shea Marino, Michael Steele",PA - Eastern,,Group1,Warning,1,1,Rodentia,10
ACZ32E1L1,LIB0017,LV1040377326,ACZ32,ACZ32E1,L1,P072_6A,metagenome,24.0,29.8,1.24,20,19,0,0,"ACZ32E1L1I1, ACZ32E1L1I2",2,EHI00357,521,00521,"ACZ32E1L1I1,ACZ32E1L1I2",,Redo,6/9/2021,52.704,23.850,Poland,1000197 - Broadleaf forest,villiage in the forest,Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,40.70,7.80,Male,SD01187,1,0.24,0.217,0.00,0,PRJEB51868,SEB002,,"ACZ32E1L1I1, ACZ32E1L1I2",SAMEA111531828,"INB0017,INB0027",Ireneusz Ruczyński,Białowieza,,Group7,Fail,1,1,Chiroptera,19
ABG28E1L1,LIB0017,LV1040377292,ABG28,ABG28E1,L1,P072_2A,metagenome,24.0,68.4,2.85,20,13,0,0,"ABG28E1L1I1, ABG28E1L1I2",2,,489,00489,"ABG28E1L1I1,ABG28E1L1I2",,Risky,4/3/2021,36.003,-78.941,United States,1000221 - Temperate woodland,small forest patch on Duke university campus,Faecal,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,53.00,470.00,Female,SD00682,0,0.00,0.000,0.00,0,PRJEB51867,,,"ABG28E1L1I1, ABG28E1L1I2",,"INB0017,INB0027",Rebecca Rimbach,"Durham, NC",,Group6,Warning,1,0,Rodentia,13
ADJ98E1L1,LIB0017,LV1040377316,ADJ98,ADJ98E1,L1,P072_4C,metagenome,24.0,101.8,4.24,20,13,0,0,"ADJ98E1L1I1, ADJ98E1L1I2",2,EHI00299,507,00507,"ADJ98E1L1I1,ADJ98E1L1I2",,Redo,29/7/2021,42.921,0.189,France,1000194 - Montane grassland,near a dam,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,181.76,5.66,Male,SD00885,1,12.23,11.594,0.00,0,PRJEB51864,SEB002,,"ADJ98E1L1I1, ADJ98E1L1I2",SAMEA111531839,"INB0017,INB0027","Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group4,Fail,1,1,Squamata,13
ADK21E1L1,LIB0017,LV1040377256,ADK21,ADK21E1,L1,P072_3G,metagenome,24.0,57.6,2.40,20,16,0,0,"ADK21E1L1I1, ADK21E1L1I2",2,EHI00354,503,00503,"ADK21E1L1I1,ADK21E1L1I2",,Redo,29/7/2021,42.927,0.199,France,1000194 - Montane grassland,,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,175.23,5.49,Male,SD00872,1,0.41,0.382,0.00,0,PRJEB51864,SEB002,,"ADK21E1L1I1, ADK21E1L1I2",SAMEA111531842,"INB0017,INB0027","Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group6,Fail,1,1,Squamata,16
AAM59E1L1,LIB0017,LV1040377279,AAM59,AAM59E1,L1,P072_3B,metagenome,24.0,33.8,1.41,20,16,0,0,"AAM59E1L1I1, AAM59E1L1I2",2,EHI00330,498,00498,"AAM59E1L1I1,AAM59E1L1I2",,Risky,8/7/2021,41.250,-75.890,United States,1000221 - Temperate woodland,City Park,Anal/cloacal swab,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,47.00,607.00,Female,SD01589,1,10.07,9.742,0.00,0,PRJEB51867,SEB002,,"AAM59E1L1I1, AAM59E1L1I2",SAMEA111531749,"INB0017,INB0027","Shea Marino, Michael Steele",PA- Eastern,,Group7,Warning,1,1,Rodentia,16
ADF33E1L1,LIB0017,LV1040377266,ADF33,ADF33E1,L1,P072_4H,metagenome,24.0,29.3,1.22,20,19,0,0,"ADF33E1L1I1, ADF33E1L1I2",2,EHI00326,512,00512,"ADF33E1L1I1,ADF33E1L1I2",,Redo,14/10/2021,43.258,11.089,Italy,1000221 - Temperate woodland,on an oak tree,Faecal,Muscardinus avellanarius,39082,Hazel dormouse ,Adult,11.00,13.00,Male,SD00699,1,5.74,0.341,3.81,0,ERP142094,SEB002,,"ADF33E1L1I1, ADF33E1L1I2",SAMEA111531838,"INB0017,INB0027","Emiliano Manzo, Stefania Gasperini",Tuscany,,Group7,Fail,1,1,Rodentia,19
ADJ92E1L1,LIB0017,LV1040377329,ADJ92,ADJ92E1,L1,P072_4D,metagenome,20.0,192.4,9.62,20,,3,"Not indexed. Need to be rerun on qPCR. Rerun 26.03.22, still didn't work. Need to rebuild libraries
",,0,,508,00508,,,,29/7/2021,42.921,0.189,France,1000194 - Montane grassland,near a dam,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,155.65,4.61,Male,SD00887,0,0.00,0.000,0.00,0,PRJEB51864,,,,,,"Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group1,Pass,0,0,Squamata,7
ADA31E1L1,LIB0017,LV1040377288,ADA31,ADA31E1,L1,P072_6C,metagenome,24.0,38.4,1.60,20,13,0,0,"ADA31E1L1I1, ADA31E1L1I2",2,EHI00298,523,00523,"ADA31E1L1I1,ADA31E1L1I2",,Good,19/7/2021,52.072,13.415,Germany,1000221 - Temperate woodland,,Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,,,Female,SD01426,1,6.92,0.443,6.22,77,PRJEB51868,SEB002,,"ADA31E1L1I1, ADA31E1L1I2",SAMEA111531833,"INB0017,INB0027",Christian Voigt,Berlin-Brandenburg,,Group7,Pass,1,1,Chiroptera,13
ADF30E1L1,LIB0017,LV1040377240,ADF30,ADF30E1,L1,P072_5C,metagenome,24.0,4.5,0.19,20,19,0,0,"ADF30E1L1I1, ADF30E1L1I2",2,EHI00304,515,00515,"ADF30E1L1I1,ADF30E1L1I2",,Risky,14/10/2021,43.268,11.100,Italy,1000221 - Temperate woodland,on a Cornelian cherry,Faecal,Muscardinus avellanarius,39082,Hazel dormouse ,Adult,11.00,12.00,Male,SD00701,1,6.83,2.829,1.84,0,ERP142094,SEB002,,"ADF30E1L1I1, ADF30E1L1I2",SAMEA111531837,"INB0017,INB0027","Emiliano Manzo, Stefania Gasperini",Tuscany,,Group8,Warning,1,1,Rodentia,19
ABG64E1L1,LIB0017,LV1040377312,ABG64,ABG64E1,L1,P072_1G,metagenome,24.0,276.0,11.50,20,16,0,0,"ABG64E1L1I1, ABG64E1L1I2",2,EHI00309,487,00487,"ABG64E1L1I1,ABG64E1L1I2",,Redo,4/3/2021,36.003,-78.941,United States,1000221 - Temperate woodland,small forest patch on Duke university campus,Faecal,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,58.00,510.00,Male,SD00680,1,5.98,0.611,4.91,106,PRJEB51867,SEB002,,"ABG64E1L1I1, ABG64E1L1I2",SAMEA111531770,"INB0017,INB0027",Rebecca Rimbach,"Durham, NC",,Group1,Fail,1,1,Rodentia,16
AAM36E1L1,LIB0017,LV1040377252,AAM36,AAM36E1,L1,P072_6G,metagenome,20.0,193.2,9.66,20,19,3,0,"AAM36E1L1I1, AAM36E1L1I2",2,,527,00527,"AAM36E1L1I1,AAM36E1L1I2",,Redo,7/7/2021,41.250,-75.890,United States,1000221 - Temperate woodland,City Park,Anal/cloacal swab,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,56.00,617.00,Male,SD01586,0,0.00,0.000,0.00,0,PRJEB51867,,,"AAM36E1L1I1, AAM36E1L1I2",,"INB0017,INB0027","Shea Marino, Michael Steele",PA - Eastern,,Group1,Fail,1,0,Rodentia,19
ACZ33E1L1,LIB0017,LV1040377269,ACZ33,ACZ33E1,L1,P072_5H,metagenome,24.0,77.5,3.23,20,,3,Not indexed_ Need to be rerun on qPCR_ Rerun 26_03_22_ still didn't work_ Need to rebuild libraries_ Libraries rebuilt 07_04_2022,,0,,520,00520,,,,6/9/2021,52.704,23.850,Poland,1000197 - Broadleaf forest,villiage in the forest,Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,38.09,7.40,Male,SD01186,0,0.00,0.000,0.00,0,PRJEB51868,,,,,,Ireneusz Ruczyński,Białowieza,,Group5,Pass,0,0,Chiroptera,7
ABG38E1L1,LIB0017,LV1040377305,ABG38,ABG38E1,L1,P072_2D,metagenome,24.0,42.0,1.75,20,,3,Not indexed_ Need to be rerun on qPCR_ Rerun 26_03_22_ still didn't work_ Need to rebuild libraries_ Libraries rebuilt 07_04_2022,,0,,492,00492,,,,4/3/2021,36.003,-78.941,United States,1000221 - Temperate woodland,small forest patch on Duke university campus,Anal/cloacal swab,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,59.00,550.00,Male,SD00685,0,0.00,0.000,0.00,0,PRJEB51867,,,,,,Rebecca Rimbach,"Durham, NC",,Group7,Pass,0,0,Rodentia,7
ADK18E1L1,LIB0017,LV1040377324,ADK18,ADK18E1,L1,P072_3F,metagenome,24.0,47.0,1.96,20,13,0,0,"ADK18E1L1I1, ADK18E1L1I2",2,EHI00325,502,00502,"ADK18E1L1I1,ADK18E1L1I2",,Good,29/7/2021,42.927,0.199,France,1000194 - Montane grassland,,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,159.28,4.06,Male,SD00870,1,11.47,8.970,2.06,0,PRJEB51864,SEB002,,"ADK18E1L1I1, ADK18E1L1I2",SAMEA111531841,"INB0017,INB0027","Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group7,Pass,1,1,Squamata,13
ADK03E1L1,LIB0017,LV1040377255,ADK03,ADK03E1,L1,P072_4B,metagenome,24.0,29.8,1.24,20,16,0,0,"ADK03E1L1I1, ADK03E1L1I2",2,EHI00359,506,00506,"ADK03E1L1I1,ADK03E1L1I2",,Risky,29/7/2021,42.921,0.189,France,1000194 - Montane grassland,near a dam,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,142.44,5.86,Male,SD00881,1,1.10,1.057,0.00,0,PRJEB51864,SEB002,,"ADK03E1L1I1, ADK03E1L1I2",SAMEA111531840,"INB0017,INB0027","Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group7,Warning,1,1,Squamata,16
ADM46E1L1,LIB0017,LV1040377328,ADM46,ADM46E1,L1,P072_4G,metagenome,24.0,30.0,1.25,20,16,0,0,"ADM46E1L1I1, ADM46E1L1I2",2,EHI00355,511,00511,"ADM46E1L1I1,ADM46E1L1I2",,Risky,20/7/2021,42.916,0.130,France,1000194 - Montane grassland,,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,140.90,5.09,Male,SD00819,1,0.59,0.569,0.00,0,PRJEB51864,SEB002,,"ADM46E1L1I1, ADM46E1L1I2",SAMEA111531844,"INB0017,INB0027","Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group7,Warning,1,1,Squamata,16
ABG11E1L1,LIB0017,LV1040377315,ABG11,ABG11E1,L1,P072_2C,metagenome,24.0,82.1,3.42,20,13,0,0,"ABG11E1L1I1, ABG11E1L1I2",2,EHI00349,491,00491,"ABG11E1L1I1,ABG11E1L1I2",,Risky,4/3/2021,36.003,-78.941,United States,1000221 - Temperate woodland,small forest patch on Duke university campus,Anal/cloacal swab,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,58.00,530.00,Male,SD00684,1,0.80,0.770,0.00,0,PRJEB51867,SEB002,,"ABG11E1L1I1, ABG11E1L1I2",SAMEA111531768,"INB0017,INB0027",Rebecca Rimbach,"Durham, NC",,Group5,Warning,1,1,Rodentia,13
ACB37E1L1,LIB0017,LV1040377242,ACB37,ACB37E1,L1,P072_6E,metagenome,24.0,43.4,1.81,20,16,0,0,"ACB37E1L1I1, ACB37E1L1I2",2,EHI00348,525,00525,"ACB37E1L1I1,ACB37E1L1I2",,Risky,19/7/2021,40.864,-4.030,Spain,1000221 - Temperate woodland,Pine Forest (Pinus sylvestris),Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,40.60,8.50,Male,SD00507,1,1.31,0.154,1.08,12,PRJEB51868,SEB002,,"ACB37E1L1I1, ACB37E1L1I2",SAMEA111531809,"INB0017,INB0027",Javier Juste,Segovia,,Group7,Warning,1,1,Chiroptera,16
ACZ48E1L1,LIB0017,LV1040377327,ACZ48,ACZ48E1,L1,P072_5F,metagenome,24.0,38.4,1.60,20,16,0,0,"ACZ48E1L1I1, ACZ48E1L1I2",2,EHI00358,518,00518,"ACZ48E1L1I1,ACZ48E1L1I2",,Risky,5/9/2021,52.391,22.917,Poland,1000196 - Coniferous forest,old bunker,Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,37.34,7.80,Male,SD01184,1,0.38,0.369,0.00,0,PRJEB51868,SEB002,,"ACZ48E1L1I1, ACZ48E1L1I2",SAMEA111531830,"INB0017,INB0027",Ireneusz Ruczyński,Siemiatycze,,Group7,Warning,1,1,Chiroptera,16
ADK29E1L1,LIB0017,LV1040377302,ADK29,ADK29E1,L1,P072_3E,metagenome,24.0,81.6,3.40,20,13,0,0,"ADK29E1L1I1, ADK29E1L1I2",2,EHI00353,501,00501,"ADK29E1L1I1,ADK29E1L1I2",,Risky,29/7/2021,42.927,0.199,France,1000194 - Montane grassland,,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,164.10,3.86,Male,SD00869,1,0.43,0.411,0.00,0,PRJEB51864,SEB002,,"ADK29E1L1I1, ADK29E1L1I2",SAMEA111531843,"INB0017,INB0027","Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group5,Warning,1,1,Squamata,13
ACZ58E1L1,LIB0017,LV1040377267,ACZ58,ACZ58E1,L1,P072_5E,metagenome,24.0,54.2,2.26,20,16,0,0,"ACZ58E1L1I1, ACZ58E1L1I2",2,EHI00356,517,00517,"ACZ58E1L1I1,ACZ58E1L1I2",,Redo,5/9/2021,52.391,22.917,Poland,1000196 - Coniferous forest,old bunker,Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,39.89,7.50,Male,SD01183,1,0.36,0.343,0.00,0,PRJEB51868,SEB002,,"ACZ58E1L1I1, ACZ58E1L1I2",SAMEA111531831,"INB0017,INB0027",Ireneusz Ruczyński,Siemiatycze,,Group6,Fail,1,1,Chiroptera,16
C1_EXB0013E1L1,LIB0017,LV1040377264,C1_EXB0013,C1_EXB0013E1,L1,P072_6H,unknown,24.0,0.0,0.00,10,19,3,0,"C1_EXB0013E1L1I1, C1_EXB0013E1L1I2",2,EHI00195,528,00528,"C1_EXB0013E1L1I1,C1_EXB0013E1L1I2",,Risky,,,,,,,,,,,,,,,,1,1.55,0.025,0.00,0,,SEB002,,"C1_EXB0013E1L1I1, C1_EXB0013E1L1I2",,"INB0017,INB0027",,,,Group8,Warning,1,1,,19
ABW32E1L1,LIB0017,LV1040377280,ABW32,ABW32E1,L1,P072_1B,metagenome,24.0,53.5,2.23,20,13,0,0,"ABW32E1L1I1, ABW32E1L1I2",2,EHI00339,482,00482,"ABW32E1L1I1,ABW32E1L1I2",,Risky,29/10/2021,52.488,13.470,Germany,1000197 - Broadleaf forest,"urban park with lawns and several broadleaf trees, partly standing together in groups, small woods",Anal/cloacal swab,Sciurus vulgaris,55149,Eurasian red squirrel,Juvenile,53.00,365.00,Male,SD01174,1,7.57,5.827,1.49,53,ERP142116,SEB002,,"ABW32E1L1I1, ABW32E1L1I2",SAMEA111531803,"INB0017,INB0027","Sinah Drenske, Stephanie Kramer",Berlin,,Group6,Warning,1,1,Rodentia,13
ACZ34E1L1,LIB0017,LV1040377313,ACZ34,ACZ34E1,L1,P072_5G,metagenome,24.0,50.2,2.09,20,16,0,0,"ACZ34E1L1I1, ACZ34E1L1I2",2,EHI00345,519,00519,"ACZ34E1L1I1,ACZ34E1L1I2",,Redo,6/9/2021,52.704,23.850,Poland,1000197 - Broadleaf forest,villiage in the forest,Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,38.35,7.90,Male,SD01185,1,10.23,4.236,5.69,23,PRJEB51868,SEB002,,"ACZ34E1L1I1, ACZ34E1L1I2",SAMEA111531829,"INB0017,INB0027",Ireneusz Ruczyński,Białowieza,,Group6,Fail,1,1,Chiroptera,16
ADM62E1L1,LIB0017,LV1040377277,ADM62,ADM62E1,L1,P072_4E,metagenome,24.0,190.1,7.92,20,13,0,0,"ADM62E1L1I1, ADM62E1L1I2",2,EHI00351,509,00509,"ADM62E1L1I1,ADM62E1L1I2",,Redo,16/7/2021,42.915,0.142,France,1000194 - Montane grassland,rocks along montane road,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,174.94,6.22,Male,SD00801,1,0.66,0.636,0.00,0,PRJEB51864,SEB002,,"ADM62E1L1I1, ADM62E1L1I2",SAMEA111531846,"INB0017,INB0027","Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group1,Fail,1,1,Squamata,13
ADK10E1L1,LIB0017,LV1040377293,ADK10,ADK10E1,L1,P072_4A,metagenome,24.0,42.2,1.76,20,,3,"Not indexed. Need to be rerun on qPCR. Rerun 26.03.22, still didn't work. Need to rebuild libraries. Libraries rebuilt 07.04.2022",,0,,505,00505,,,,29/7/2021,42.921,0.189,France,1000194 - Montane grassland,near a dam,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,153.06,6.73,Male,SD00879,0,0.00,0.000,0.00,0,PRJEB51864,,,,,,"Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group7,Pass,0,0,Squamata,7
ADK31E1L1,LIB0017,LV1040377317,ADK31,ADK31E1,L1,P072_3D,metagenome,24.0,32.9,1.37,20,,3,"Not indexed. Need to be rerun on qPCR. Rerun 26.03.22, still didn't work. Need to rebuild libraries. Libraries rebuilt 07.04.2022",,0,,500,00500,,,,29/7/2021,42.927,0.199,France,1000194 - Montane grassland,,Oral swab,Podarcis muralis,64176,Common wall lizard,Adult,107.95,5.02,Male,SD00868,0,0.00,0.000,0.00,0,PRJEB51864,,,,,,"Fabien Aubret, Tom Sarraude ","Occitanie, Sentein",,Group7,Pass,0,0,Squamata,7
ABW39E1L1,LIB0017,LV1040377265,ABW39,ABW39E1,L1,P072_1F,metagenome,24.0,135.8,5.66,20,13,0,0,"ABW39E1L1I1, ABW39E1L1I2",2,EHI00341,486,00486,"ABW39E1L1I1,ABW39E1L1I2",,Redo,30/10/2021,52.488,13.470,Germany,1000197 - Broadleaf forest,"urban park with lawns and several broadleaf trees, partly standing together in groups, small woods",Anal/cloacal swab,Sciurus vulgaris,55149,Eurasian red squirrel,Adult,54.00,450.00,Male,SD01179,1,6.54,5.572,0.73,53,ERP142116,SEB002,,"ABW39E1L1I1, ABW39E1L1I2",SAMEA111531807,"INB0017,INB0027","Sinah Drenske, Stephanie Kramer",Berlin,,Group3,Fail,1,1,Rodentia,13
ADF26E1L1,LIB0017,LV1040377290,ADF26,ADF26E1,L1,P072_5D,metagenome,24.0,49.0,2.04,20,19,0,0,"ADF26E1L1I1, ADF26E1L1I2",2,EHI00347,516,00516,"ADF26E1L1I1,ADF26E1L1I2",,Redo,25/10/2021,43.249,11.092,Italy,1000221 - Temperate woodland,on a manna ash,Faecal,Muscardinus avellanarius,39082,Hazel dormouse ,Adult,12.00,15.50,Male,SD00706,1,1.05,0.953,0.00,0,ERP142094,SEB002,,"ADF26E1L1I1, ADF26E1L1I2",SAMEA111531836,"INB0017,INB0027","Emiliano Manzo, Stefania Gasperini",Tuscany,,Group7,Fail,1,1,Rodentia,19
ABG57E1L1,LIB0017,LV1040377281,ABG57,ABG57E1,L1,P072_2E,metagenome,12.0,199.2,16.60,20,,3,Not indexed_ Need to be rerun on qPCR_ Rerun 26_03_22_ still didn't work_ Need to rebuild libraries_ Libraries rebuilt 07_04_2022,,0,,493,00493,,,,4/3/2021,36.003,-78.941,United States,1000221 - Temperate woodland,small forest patch on Duke university campus,Faecal,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,62.00,610.00,Female,SD00686,0,0.00,0.000,0.00,0,PRJEB51867,,,,,,Rebecca Rimbach,"Durham, NC",,Group1,Pass,0,0,Rodentia,7
AAL47E1L1,LIB0017,LV1040377289,AAL47,AAL47E1,L1,P072_6F,metagenome,24.0,158.4,6.60,20,13,0,0,"AAL47E1L1I1, AAL47E1L1I2",2,EHI00336,526,00526,"AAL47E1L1I1,AAL47E1L1I2",,Redo,18/6/2021,41.250,-75.890,United States,1000221 - Temperate woodland,City Park,Anal/cloacal swab,Sciurus carolinensis,30640,Eastern grey squirrel,Adult,58.00,527.00,Female,SD01580,1,6.75,6.495,0.00,0,PRJEB51867,SEB002,,"AAL47E1L1I1, AAL47E1L1I2",SAMEA111531744,"INB0017,INB0027","Shea Marino, Michael Steele",PA - Eastern,,Group2,Fail,1,1,Rodentia,13
ACB36E1L1,LIB0017,LV1040377325,ACB36,ACB36E1,L1,P072_6D,metagenome,24.0,33.8,1.41,20,19,0,0,"ACB36E1L1I1, ACB36E1L1I2",2,EHI00352,524,00524,"ACB36E1L1I1,ACB36E1L1I2",,Redo,19/7/2021,40.864,-4.030,Spain,1000221 - Temperate woodland,Pine Forest (Pinus sylvestris),Faecal,Plecotus auritus,61862,Brown longe-eared bat,Adult,39.30,8.00,Male,SD00506,1,0.25,0.222,0.00,0,PRJEB51868,SEB002,,"ACB36E1L1I1, ACB36E1L1I2",SAMEA111531808,"INB0017,INB0027",Javier Juste,Segovia,,Group7,Fail,1,1,Chiroptera,19
BATA19E1L1,LIB0018,LV1040377270,BATA19,BATA19E1,L1,P072_7A,unknown,24.0,159.4,6.64,20,10,0,,"BATA19E1L1I1, BATA19E1L1I2",2,EHI00295,529,00529,"BATA19E1L1I1,BATA19E1L1I2",,Risky,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATA19E1L1I1, BATA19E1L1I2",,"INB0018,INB0026",,,,Group2,Warning,1,1,,10
BATA08E1L1,LIB0018,LV1040377263,BATA08,BATA08E1,L1,P072_8A,unknown,18.0,199.8,11.10,20,10,0,,"BATA08E1L1I1, BATA08E1L1I2",2,EHI00315,597,00597,"BATA08E1L1I1,BATA08E1L1I2",,Risky,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATA08E1L1I1, BATA08E1L1I2",,"INB0018,INB0026",,,,Group1,Warning,1,1,,10
BATC11E1L1,LIB0018,LV1040377249,BATC11,BATC11E1,L1,P072_9F,unknown,20.0,195.8,9.79,20,7,0,,"BATC11E1L1I1, BATC11E1L1I2",2,EHI00248,610,00610,"BATC11E1L1I1,BATC11E1L1I2",,Good,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATC11E1L1I1, BATC11E1L1I2",,"INB0018,INB0026",,,,Group1,Pass,1,1,,7
BATC02E1L1,LIB0018,LV1040377273,BATC02,BATC02E1,L1,P072_7E,unknown,10.0,193.0,19.30,20,10,0,,"BATC02E1L1I1, BATC02E1L1I2",2,EHI00310,593,00593,"BATC02E1L1I1,BATC02E1L1I2",,Risky,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATC02E1L1I1, BATC02E1L1I2",,"INB0018,INB0026",,,,Group1,Warning,1,1,,10
BATB05E1L1,LIB0018,LV1040377248,BATB05,BATB05E1,L1,P072_9B,unknown,24.0,33.6,1.40,10,13,0,,"BATB05E1L1I1, BATB05E1L1I2",2,EHI00323,606,00606,"BATB05E1L1I1,BATB05E1L1I2",,Good,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATB05E1L1I1, BATB05E1L1I2",,"INB0018,INB0026",,,,Group7,Pass,1,1,,13
BATA07E1L1,LIB0018,LV1040377274,BATA07,BATA07E1,L1,P072_7H,unknown,13.0,192.4,14.80,20,10,0,,"BATA07E1L1I1, BATA07E1L1I2",2,EHI00303,596,00596,"BATA07E1L1I1,BATA07E1L1I2",,Risky,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATA07E1L1I1, BATA07E1L1I2",,"INB0018,INB0026",,,,Group1,Warning,1,1,,10
BATB12E1L1,LIB0018,LV1040377262,BATB12,BATB12E1,L1,P072_8D,unknown,24.0,54.7,2.28,20,10,0,,"BATB12E1L1I1, BATB12E1L1I2",2,EHI00293,600,00600,"BATB12E1L1I1,BATB12E1L1I2",,Good,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATB12E1L1I1, BATB12E1L1I2",,"INB0018,INB0026",,,,Group6,Pass,1,1,,10
BATB04E1L1,LIB0018,LV1040377332,BATB04,BATB04E1,L1,P072_10D,unknown,24.0,15.4,0.64,10,13,0,,"BATB04E1L1I1, BATB04E1L1I2",2,EHI00194,616,00616,"BATB04E1L1I1,BATB04E1L1I2",,Good,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATB04E1L1I1, BATB04E1L1I2",,"INB0018,INB0026",,,,Group8,Pass,1,1,,13
C1_EXB0012E1L1,LIB0018,LV1040377311,C1_EXB0012,C1_EXB0012E1,L1,P072_10G,unknown,24.0,0.0,0.00,10,19,3,,"C1_EXB0012E1L1I1, C1_EXB0012E1L1I2",2,EHI00193,619,00619,"C1_EXB0012E1L1I1,C1_EXB0012E1L1I2",,Risky,,,,,,,,,,,,,,,,1,1.67,0.004,1.59,0,,SEB002,,"C1_EXB0012E1L1I1, C1_EXB0012E1L1I2",,"INB0018,INB0026",,,,Group8,Warning,1,1,,19
BATA17E1L1,LIB0018,LV1040377331,BATA17,BATA17E1,L1,P072_9G,unknown,22.0,191.6,8.71,20,7,0,,"BATA17E1L1I1, BATA17E1L1I2",2,EHI00286,611,00611,"BATA17E1L1I1,BATA17E1L1I2",,Good,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATA17E1L1I1, BATA17E1L1I2",,"INB0018,INB0026",,,,Group1,Pass,1,1,,7
BATA01E1L1,LIB0018,LV1040377283,BATA01,BATA01E1,L1,P072_10C,unknown,12.0,186.0,15.50,20,7,0,,"BATA01E1L1I1, BATA01E1L1I2",2,EHI00239,615,00615,"BATA01E1L1I1,BATA01E1L1I2",,Good,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATA01E1L1I1, BATA01E1L1I2",,"INB0018,INB0026",,,,Group1,Pass,1,1,,7
BATC14E1L1,LIB0018,LV1040377286,BATC14,BATC14E1,L1,P072_7G,unknown,20.0,192.0,9.60,20,7,0,,"BATC14E1L1I1, BATC14E1L1I2",2,EHI00222,595,00595,"BATC14E1L1I1,BATC14E1L1I2",,Good,,,,,,,,,,,,,,,,1,0.00,0.000,0.00,0,,SEB002,,"BATC14E1L1I1, BATC14E1L1I2",,"INB0018,INB0026",,,,Group1,Pass,1,1,,7
